name,team_abbr,team_name,pos,jersey_number,goals_ref,assists_ref,own_goals_ref,points_ref,epl_in_ref,xg_ref,xa_ref,xpoints_ref,id
Erling Haaland,MCI,Manchester City,FWD,9,27,8,0,31,true,28.795336209237576,5.507687093690038,31.549179756082594,sr:player:991181
Igor Thiago,BRE,Brentford,FWD,9,22,1,0,22.5,true,24.68977300822735,3.4500465877354145,26.414796302095056,sr:player:2232678
Bruno Fernandes,MUN,Manchester United,MID,8,9,21,0,19.5,true,11.931805820204318,17.75713463127613,20.810373135842383,sr:player:288205
Antoine Semenyo,MCI,Manchester City,MID,42,17,4,0,19,true,12.836786897853017,4.130169393494725,14.90187159460038,sr:player:1480070
Ollie Watkins,AVL,Aston Villa,FWD,11,16,3,0,17.5,true,18.827725588344038,2.816021606326103,20.23573639150709,sr:player:555386
Morgan Gibbs-White,NFO,Nottingham,MID,10,15,4,0,17,true,11.671697720885277,4.5044658575206995,13.923930649645627,sr:player:1089760
Joao Pedro,CFC,Chelsea,FWD,20,15,4,0,17,true,15.723741941154003,3.983569510281086,17.715526696294546,sr:player:1710063
Dominic Calvert-Lewin,LEE,Leeds United,FWD,9,14,1,0,14.5,true,18.671318570151925,1.5441157519817352,19.443376446142793,sr:player:372344
Viktor Gyokeres,ARS,Arsenal,FWD,14,14,1,0,14.5,true,13.871430788189173,2.6537387324497104,15.198300154414028,sr:player:869030
Harry Wilson,LEE,Leeds United,FWD,17,10,7,0,13.5,true,5.759745923802257,5.503671173006296,8.511581510305405,sr:player:355528
Danny Welbeck,CFC,Chelsea,FWD,18,13,1,0,13.5,true,12.718900069594383,2.2625304386019707,13.850165288895369,sr:player:33902
Hugo Ekitike,LFC,Liverpool,FWD,22,11,5,0,13.5,true,11.932188130915165,2.49130567535758,13.177840968593955,sr:player:2083977
Richarlison,TOT,Tottenham,FWD,9,11,4,0,13,true,9.866276641376317,3.4081881837919354,11.570370733272284,sr:player:992069
Morgan Rogers,CFC,Chelsea,MID,17,10,6,0,13,true,7.1458222679793835,7.475014166906476,10.883329351432621,sr:player:1577506
Eli Junior Kroupi,BOU,Bournemouth,FWD,22,13,0,0,13,true,8.849121669307351,1.81576990429312,9.757006621453911,sr:player:2592883
Bryan Mbeumo,MUN,Manchester United,FWD,19,11,3,0,12.5,true,13.309208107180893,5.091009698808193,15.85471295658499,sr:player:1413499
