name,team_abbr,team_name,pos,jersey_number,goals_2023,assists_2023,own_goals_2023,points_2023,epl_in_2023,id
Erling Haaland,MCI,Man City,FWD,9,27,5,0,29.5,true,sr:player:991181
Cole Palmer,CHE,Chelsea,MID,20,22,11,0,27.5,true,sr:player:1737609
Ollie Watkins,AVL,Aston Villa,FWD,11,19,13,0,25.5,true,sr:player:555386
Phil Foden,MCI,Man City,MID,47,19,8,0,23,true,sr:player:1047129
Mohamed Salah,LIV,Liverpool,FWD,11,18,10,0,23,true,sr:player:159665
Alexander Isak,NEW,Newcastle,FWD,14,21,2,0,22,true,sr:player:925724
Son Heung-min,TOT,Tottenham,FWD,7,17,10,1,21,true,sr:player:111505
Dominic Solanke,TOT,Tottenham,FWD,,19,3,0,20.5,true,sr:player:361420
Bukayo Saka,ARS,Arsenal,FWD,7,16,9,0,20.5,true,sr:player:1479630
Jarrod Bowen,WHU,West Ham,FWD,20,16,6,0,19,true,sr:player:552884
Jean Philippe Mateta,CRY,Crystal Palace,FWD,14,16,5,0,18.5,true,sr:player:1027583
Nicolas Jackson,CHE,Chelsea,FWD,15,14,5,0,16.5,true,sr:player:2084331
Anthony Gordon,NEW,Newcastle,FWD,10,11,10,0,16,true,sr:player:1373595
Kai Havertz,ARS,Arsenal,FWD,29,13,6,0,16,true,sr:player:937210
Julian Alvarez,MCI,Man City,FWD,19,11,9,0,15.5,true,sr:player:1630398
Matheus Cunha,WOL,Wolverhampton,FWD,12,12,7,0,15.5,true,sr:player:1146986
Leon Bailey,AVL,Aston Villa,MID,31,10,10,0,15,true,sr:player:883594
Darwin Nunez,LIV,Liverpool,FWD,9,11,8,0,15,true,sr:player:1406549
Chris Wood,NFO,Nottingham,FWD,11,14,1,0,14.5,true,sr:player:50480
Bruno Fernandes,MUN,Man Utd,MID,8,10,8,0,14,true,sr:player:288205
Hwang Hee-chan,WOL,Wolverhampton,FWD,11,12,3,0,13.5,true,sr:player:754008
Richarlison Richarlison,TOT,Tottenham,FWD,9,11,5,0,13.5,true,sr:player:992069
Yoane Wissa,BRE,Brentford,MID,11,12,3,0,13.5,true,sr:player:871210
Leandro Trossard,ARS,Arsenal,MID,19,12,2,0,13,true,sr:player:135666
Martin Odegaard,ARS,Arsenal,MID,8,8,10,0,13,true,sr:player:547410
Eberechi Eze,CRY,Crystal Palace,FWD,10,11,4,0,13,true,sr:player:1088470
Rodrigo Rodri,MCI,Man City,MID,16,8,8,0,12,true,sr:player:844073
Diogo Jota,LIV,Liverpool,FWD,20,10,4,0,12,true,sr:player:606164
Bryan Mbeumo,BRE,Brentford,FWD,19,9,6,0,12,true,sr:player:1413499
Mohammed Kudus,WHU,West Ham,MID,14,8,7,0,11.5,true,sr:player:1321798
Bruno Guimaraes,NEW,Newcastle,MID,39,7,9,0,11.5,true,sr:player:1141016
Rasmus Hojlund,MUN,Man Utd,FWD,9,10,2,0,11,true,sr:player:1986771
Declan Rice,ARS,Arsenal,MID,41,7,8,0,11,true,sr:player:934552
Bernardo Silva,MCI,Man City,MID,20,6,9,0,10.5,true,sr:player:331209
Joao Pedro,BRI,Brighton,FWD,9,9,3,0,10.5,true,sr:player:1710063
James Ward Prowse,WHU,West Ham,MID,7,7,7,0,10.5,true,sr:player:161717
Cody Gakpo,LIV,Liverpool,FWD,18,8,5,0,10.5,true,sr:player:1058437
Luis Diaz,LIV,Liverpool,FWD,7,8,5,0,10.5,true,sr:player:1134923
Morgan Gibbs-White,NFO,Nottingham,MID,10,5,10,0,10,true,sr:player:1089760
Brennan Johnson,TOT,Tottenham,FWD,22,5,10,0,10,true,sr:player:1646334
Raheem Sterling,CHE,Chelsea,FWD,7,8,4,0,10,true,sr:player:138534
Rodrigo Muniz,FUL,Fulham,FWD,9,9,2,0,10,true,sr:player:1557191
Anthony Elanga,NFO,Nottingham,FWD,21,5,9,0,9.5,true,sr:player:1718666
Dejan Kulusevski,TOT,Tottenham,MID,21,8,3,0,9.5,true,sr:player:1065654
Callum Wilson,NEW,Newcastle,FWD,9,9,1,0,9.5,true,sr:player:113956
Kevin De Bruyne,MCI,Man City,MID,17,4,10,0,9,true,sr:player:70996
Alejandro Garnacho,MUN,Man Utd,FWD,17,7,4,0,9,true,sr:player:1955902
Conor Gallagher,CHE,Chelsea,MID,23,5,8,0,9,true,sr:player:1297742
Antoine Semenyo,BOU,Bournemouth,FWD,24,8,2,0,9,true,sr:player:1480070
Callum Hudson Odoi,NFO,Nottingham,FWD,14,8,1,0,8.5,true,sr:player:1089772
James Maddison,TOT,Tottenham,MID,10,4,9,0,8.5,true,sr:player:356398
Gabriel Martinelli,ARS,Arsenal,FWD,11,6,5,0,8.5,true,sr:player:1663313
Abdoulaye Doucoure,EVE,Everton,MID,16,7,3,0,8.5,true,sr:player:96535
Marcus Rashford,MUN,Man Utd,FWD,10,7,2,0,8,true,sr:player:903830
Tomas Soucek,WHU,West Ham,MID,28,7,2,0,8,true,sr:player:359840
John McGinn,AVL,Aston Villa,MID,7,6,4,0,8,true,sr:player:250223
Dominic Calvert-Lewin,EVE,Everton,FWD,9,7,2,0,8,true,sr:player:372344
Taiwo Awoniyi,NFO,Nottingham,FWD,9,6,3,0,7.5,true,sr:player:359664
Pablo Sarabia,WOL,Wolverhampton,FWD,21,4,7,0,7.5,true,sr:player:138573
Scott McTominay,MUN,Man Utd,MID,39,7,1,0,7.5,true,sr:player:908372
Michail Antonio,WHU,West Ham,FWD,9,6,3,0,7.5,true,sr:player:47772
Lucas Paqueta,WHU,West Ham,MID,10,4,7,0,7.5,true,sr:player:991199
Ross Barkley,AVL,Aston Villa,MID,6,5,5,0,7.5,true,sr:player:98435
Alexis Mac Allister,LIV,Liverpool,MID,10,5,5,0,7.5,true,sr:player:1245194
Neal Maupay,EVE,Everton,FWD,13,6,3,0,7.5,true,sr:player:268903
Justin Kluivert,BOU,Bournemouth,FWD,19,7,1,0,7.5,true,sr:player:934234
Jordan Ayew,CRY,Crystal Palace,FWD,9,4,7,0,7.5,true,sr:player:103045
Jeremy Doku,MCI,Man City,FWD,11,3,8,0,7,true,sr:player:1297614
Bobby Decordova-Reid,LEI,Leicester,FWD,14,6,2,0,7,true,sr:player:151499
Sean Longstaff,NEW,Newcastle,MID,36,6,2,0,7,true,sr:player:1090782
Raul Jimenez,FUL,Fulham,FWD,7,7,0,0,7,true,sr:player:192442
Andreas Pereira,FUL,Fulham,MID,18,3,8,0,7,true,sr:player:285949
Harry Wilson,FUL,Fulham,FWD,8,4,6,0,7,true,sr:player:355528
Odsonne Edouard,CRY,Crystal Palace,FWD,22,7,0,0,7,true,sr:player:769147
Simon Adingra,BRI,Brighton,FWD,24,6,1,0,6.5,true,sr:player:2142670
Pedro Porro,TOT,Tottenham,DEF,23,3,7,0,6.5,true,sr:player:1363568
Pedro Neto,CHE,Chelsea,FWD,,2,9,0,6.5,true,sr:player:1115761
Jacob Murphy,NEW,Newcastle,MID,23,3,7,0,6.5,true,sr:player:372336
Harvey Barnes,NEW,Newcastle,MID,11,5,3,0,6.5,true,sr:player:1055187
Gabriel Jesus,ARS,Arsenal,FWD,9,4,5,0,6.5,true,sr:player:835751
Ben Brereton,SOU,Southampton,FWD,,6,1,0,6.5,false,sr:player:1094200
Marcos Senesi,BOU,Bournemouth,DEF,25,4,5,0,6.5,true,sr:player:954708
Evan Ferguson,BRI,Brighton,FWD,28,6,0,0,6,true,sr:player:1951258
Mykhailo Mudryk,CHE,Chelsea,FWD,10,5,2,0,6,true,sr:player:1299850
Noni Madueke,CHE,Chelsea,FWD,11,5,2,0,6,true,sr:player:1300742
Kieran Trippier,NEW,Newcastle,DEF,2,1,10,0,6,true,sr:player:69256
Eddie Nketiah,ARS,Arsenal,FWD,14,5,2,0,6,true,sr:player:937000
Ben White,ARS,Arsenal,DEF,4,4,4,0,6,true,sr:player:1015179
Alex Iwobi,FUL,Fulham,FWD,17,5,2,0,6,true,sr:player:352770
Harvey Elliott,LIV,Liverpool,FWD,19,3,6,0,6,true,sr:player:1604594
Dwight McNeil,EVE,Everton,MID,7,3,6,0,6,true,sr:player:1484502
Danny Welbeck,BRI,Brighton,FWD,18,5,1,0,5.5,true,sr:player:33902
Kaoru Mitoma,BRI,Brighton,MID,22,3,4,0,5,true,sr:player:1494743
Youri Tielemans,AVL,Aston Villa,MID,8,2,6,0,5,true,sr:player:331737
Jhon Jader Duran,AVL,Aston Villa,FWD,24,5,0,0,5,true,sr:player:1697559
Willian Willian,FUL,Fulham,MID,20,4,2,0,5,true,sr:player:31417
Trent Alexander-Arnold,LIV,Liverpool,DEF,66,3,4,0,5,true,sr:player:779556
Jack Harrison,EVE,Everton,MID,11,3,4,0,5,false,sr:player:951350
Ivan Toney,BRE,Brentford,FWD,17,4,2,0,5,true,sr:player:290927
Marcus Tavernier,BOU,Bournemouth,MID,16,3,4,0,5,true,sr:player:944820
Jack Grealish,MCI,Man City,MID,10,3,3,0,4.5,true,sr:player:189061
Josko Gvardiol,MCI,Man City,DEF,24,4,1,0,4.5,true,sr:player:1645860
Mario Lemina,WOL,Wolverhampton,MID,5,4,1,0,4.5,true,sr:player:307284
Pape Matar Sarr,TOT,Tottenham,MID,29,3,3,0,4.5,true,sr:player:1957969
David Datro Fofana,CHE,Chelsea,FWD,,4,1,0,4.5,true,sr:player:2123150
Fabian Schar,NEW,Newcastle,DEF,5,4,1,0,4.5,true,sr:player:101882
Cameron Archer,AVL,Aston Villa,FWD,35,4,1,0,4.5,true,sr:player:1868542
Mathias Jensen,BRE,Brentford,MID,8,3,3,0,4.5,true,sr:player:775687
James McAtee,MCI,Man City,MID,87,3,2,0,4,true,sr:player:2221700
Cristian Romero,TOT,Tottenham,DEF,17,5,0,1,4,true,sr:player:952278
Enzo Fernandez,CHE,Chelsea,MID,8,3,2,0,4,true,sr:player:1696477
Andy Robertson,LIV,Liverpool,DEF,26,3,2,0,4,true,sr:player:262911
Dominik Szoboszlai,LIV,Liverpool,MID,8,3,2,0,4,true,sr:player:1064588
Idrissa Gana Gueye,EVE,Everton,MID,27,4,0,0,4,true,sr:player:106337
Lewis Dunk,BRI,Brighton,DEF,5,3,1,0,3.5,true,sr:player:115365
Solly March,BRI,Brighton,MID,7,3,1,0,3.5,true,sr:player:301288
Buonanotte Facundo,LEI,Leicester,MID,,3,1,0,3.5,true,sr:player:2184938
Timo Werner,TOT,Tottenham,FWD,16,2,3,0,3.5,false,sr:player:232306
Destiny Udogie,TOT,Tottenham,DEF,13,2,3,0,3.5,true,sr:player:1722002
Diogo Dalot,MUN,Man Utd,DEF,20,2,3,0,3.5,true,sr:player:817522
Kobbie Mainoo,MUN,Man Utd,MID,37,3,1,0,3.5,true,sr:player:2264945
Vladimir Coufal,WHU,West Ham,DEF,5,0,7,0,3.5,true,sr:player:138024
Miguel Almiron,NEW,Newcastle,MID,24,3,1,0,3.5,true,sr:player:333373
Morgan Rogers,AVL,Aston Villa,FWD,27,3,1,0,3.5,true,sr:player:1577506
Adama Traore,FUL,Fulham,FWD,11,2,3,0,3.5,true,sr:player:286165
Keane Lewis-Potter,BRE,Brentford,FWD,23,3,1,0,3.5,true,sr:player:1662121
Philip Billing,BOU,Bournemouth,MID,29,2,3,0,3.5,true,sr:player:548660
Joachim Andersen,CRY,Crystal Palace,DEF,16,2,3,0,3.5,true,sr:player:362682
Nicolas Dominguez,NFO,Nottingham,MID,16,2,2,0,3,true,sr:player:1103661
Danilo Oliveira,NFO,Nottingham,MID,28,2,2,0,3,true,sr:player:1852246
Joao Gomes,WOL,Wolverhampton,MID,8,2,2,0,3,true,sr:player:2014161
Jack Hinshelwood,BRI,Brighton,MID,41,3,0,0,3,true,sr:player:2532547
Giovani Lo Celso,TOT,Tottenham,MID,18,2,2,0,3,true,sr:player:858082
Micky van de Ven,TOT,Tottenham,DEF,37,3,0,0,3,true,sr:player:1938216
Harry Maguire,MUN,Man Utd,DEF,5,2,2,0,3,true,sr:player:149380
Kurt Zouma,WHU,West Ham,DEF,4,3,0,0,3,true,sr:player:139227
Christopher Nkunku,CHE,Chelsea,FWD,18,3,0,0,3,true,sr:player:769333
Malo Gusto,CHE,Chelsea,DEF,27,0,6,0,3,true,sr:player:1948364
Gabriel Magalhaes,ARS,Arsenal,DEF,6,4,0,1,3,true,sr:player:1099395
Virgil van Dijk,LIV,Liverpool,DEF,4,2,2,0,3,true,sr:player:151545
Norberto Bercique Beto,EVE,Everton,FWD,14,3,0,0,3,true,sr:player:1658367
Jarrad Branthwaite,EVE,Everton,MID,32,3,0,0,3,true,sr:player:1720484
Enes Unal,BOU,Bournemouth,FWD,26,2,2,0,3,false,sr:player:336655
Luis Sinisterra,BOU,Bournemouth,FWD,17,2,2,0,3,false,sr:player:1124571
Jeffrey Schlupp,CRY,Crystal Palace,MID,15,2,2,0,3,true,sr:player:148710
Willy Boly,NFO,Nottingham,DEF,30,2,1,0,2.5,true,sr:player:139310
Harry Toffolo,NFO,Nottingham,DEF,15,1,3,0,2.5,true,sr:player:358218
Nathan Ake,MCI,Man City,DEF,6,2,1,0,2.5,true,sr:player:149663
Jean-Ricner Bellegarde,WOL,Wolverhampton,MID,27,2,1,0,2.5,true,sr:player:1011881
Rayan Ait Nouri,WOL,Wolverhampton,DEF,3,2,1,0,2.5,true,sr:player:1432949
Toti Gomes,WOL,Wolverhampton,DEF,24,1,3,0,2.5,true,sr:player:1687671
Pervis Estupinan,BRI,Brighton,DEF,30,2,3,1,2.5,true,sr:player:872110
Carlos Henrique Casemiro,MUN,Man Utd,MID,18,1,3,0,2.5,true,sr:player:122951
Moises Caicedo,CHE,Chelsea,MID,25,1,3,0,2.5,true,sr:player:1796106
Dan Burn,NEW,Newcastle,DEF,33,2,1,0,2.5,true,sr:player:99090
Joelinton Cassio Joelinton,NEW,Newcastle,FWD,7,2,1,0,2.5,true,sr:player:560128
Lucas Digne,AVL,Aston Villa,DEF,12,1,3,0,2.5,true,sr:player:96538
Takehiro Tomiyasu,ARS,Arsenal,DEF,18,2,1,0,2.5,true,sr:player:772819
William Saliba,ARS,Arsenal,DEF,2,2,1,0,2.5,true,sr:player:1513599
Timothy Castagne,FUL,Fulham,DEF,21,1,3,0,2.5,true,sr:player:329417
Christian Norgaard,BRE,Brentford,MID,6,2,1,0,2.5,true,sr:player:135256
Kristoffer Ajer,BRE,Brentford,DEF,20,2,1,0,2.5,true,sr:player:576384
Vitaly Janelt,BRE,Brentford,MID,27,1,3,0,2.5,true,sr:player:822586
Kevin Schade,BRE,Brentford,FWD,7,2,1,0,2.5,true,sr:player:1575774
Ryan Christie,BOU,Bournemouth,FWD,10,0,5,0,2.5,true,sr:player:322391
Tyrick Mitchell,CRY,Crystal Palace,DEF,3,2,3,1,2.5,true,sr:player:1984029
Kyle Walker,MCI,Man City,DEF,2,0,4,0,2,true,sr:player:44614
Manuel Akanji,MCI,Man City,DEF,25,2,0,0,2,true,sr:player:383560
Rico Lewis,MCI,Man City,DEF,82,2,0,0,2,true,sr:player:2246775
Sasa Kalajdzic,WOL,Wolverhampton,FWD,18,2,0,0,2,true,sr:player:1100395
Sergio Reguilon,TOT,Tottenham,DEF,3,0,4,0,2,true,sr:player:777892
Christian Eriksen,MUN,Man Utd,MID,14,1,2,0,2,true,sr:player:105734
Max Kilman,WHU,West Ham,DEF,26,2,0,0,2,true,sr:player:1263492
Tosin Adarabioyo,CHE,Chelsea,DEF,4,2,0,0,2,true,sr:player:352668
Sven Botman,NEW,Newcastle,DEF,4,2,2,1,2,true,sr:player:1059315
Lewis Miley,NEW,Newcastle,MID,67,1,2,0,2,true,sr:player:2558327
Pau Torres,AVL,Aston Villa,DEF,14,2,0,0,2,true,sr:player:944170
Matty Cash,AVL,Aston Villa,DEF,2,2,2,1,2,true,sr:player:968907
Amadou Onana,AVL,Aston Villa,MID,24,2,0,0,2,true,sr:player:1402475
Jacob Ramsey,AVL,Aston Villa,MID,41,1,2,0,2,true,sr:player:1705555
Oleksandr Zinchenko,ARS,Arsenal,DEF,35,1,2,0,2,true,sr:player:287643
Jakub Kiwior,ARS,Arsenal,DEF,15,1,2,0,2,true,sr:player:1091644
Fabio Vieira,ARS,Arsenal,MID,21,1,2,0,2,true,sr:player:1300574
Tom Cairney,FUL,Fulham,MID,10,1,4,1,2,true,sr:player:82566
Carlos Vinicius,FUL,Fulham,FWD,30,2,0,0,2,true,sr:player:1233356
Jarell Quansah,LIV,Liverpool,DEF,78,2,0,0,2,true,sr:player:1939988
Vitaliy Mykolenko,EVE,Everton,DEF,19,2,0,0,2,true,sr:player:935132
James Garner,EVE,Everton,MID,37,1,2,0,2,true,sr:player:1297412
Ben Mee,BRE,Brentford,DEF,16,2,0,0,2,true,sr:player:137774
Mads Roerslev Rasmussen,BRE,Brentford,DEF,30,1,2,0,2,true,sr:player:935526
Frank Onyeka,BRE,Brentford,MID,15,1,2,0,2,true,sr:player:959744
Ethan Pinnock,BRE,Brentford,DEF,5,2,0,0,2,true,sr:player:1056935
Daniel Munoz,CRY,Crystal Palace,DEF,12,0,4,0,2,true,sr:player:1108227
Ola Aina,NFO,Nottingham,DEF,43,1,1,0,1.5,true,sr:player:284421
Ryan Yates,NFO,Nottingham,MID,22,1,1,0,1.5,true,sr:player:1014789
Oscar Bobb,MCI,Man City,MID,52,1,1,0,1.5,true,sr:player:1956474
Craig Dawson,WOL,Wolverhampton,DEF,15,1,1,0,1.5,true,sr:player:50027
Joel Veltman,BRI,Brighton,DEF,34,1,1,0,1.5,true,sr:player:219572
Tariq Lamptey,BRI,Brighton,DEF,2,0,3,0,1.5,true,sr:player:1297724
Rodrigo Bentancur,TOT,Tottenham,MID,30,1,1,0,1.5,true,sr:player:810644
Victor Lindelof,MUN,Man Utd,DEF,2,1,1,0,1.5,true,sr:player:143334
Antony Mateus Antony,MUN,Man Utd,FWD,21,1,1,0,1.5,true,sr:player:1614982
Amad Diallo,MUN,Man Utd,MID,16,1,1,0,1.5,true,sr:player:1886726
Edson Alvarez,WHU,West Ham,MID,19,1,1,0,1.5,true,sr:player:1020079
Armando Broja,CHE,Chelsea,FWD,19,1,1,0,1.5,true,sr:player:1297776
Levi Colwill,CHE,Chelsea,DEF,6,1,1,0,1.5,true,sr:player:1947798
Carney Chukwuemeka,CHE,Chelsea,MID,17,1,1,0,1.5,true,sr:player:2130086
Antonee Robinson,FUL,Fulham,DEF,33,0,7,2,1.5,true,sr:player:867054
Kostas Tsimikas,LIV,Liverpool,DEF,21,0,3,0,1.5,true,sr:player:605434
Curtis Jones,LIV,Liverpool,MID,17,1,1,0,1.5,true,sr:player:1298510
Conor Bradley,LIV,Liverpool,DEF,84,1,3,1,1.5,true,sr:player:1939996
Charlie Taylor,SOU,Southampton,DEF,,1,1,0,1.5,true,sr:player:166381
James Tarkowski,EVE,Everton,DEF,6,1,1,0,1.5,true,sr:player:145188
Nathan Collins,BRE,Brentford,DEF,22,1,1,0,1.5,true,sr:player:1069190
Mikkel Damsgaard,BRE,Brentford,FWD,24,0,3,0,1.5,true,sr:player:1336192
Lewis Cook,BOU,Bournemouth,MID,4,0,3,0,1.5,true,sr:player:548188
David Brooks,BOU,Bournemouth,MID,7,1,1,0,1.5,true,sr:player:1056631
Alex Jay Scott,BOU,Bournemouth,MID,14,1,1,0,1.5,true,sr:player:2131960
Dango Ouattara,BOU,Bournemouth,FWD,11,1,1,0,1.5,true,sr:player:2200344
Jefferson Lerma,CRY,Crystal Palace,MID,8,1,1,0,1.5,true,sr:player:355796
Chris Richards,CRY,Crystal Palace,DEF,26,1,1,0,1.5,true,sr:player:1512315
